Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH_Total_Scale,PH_QF
CHEECA_80W_25N,24.898,-80.619,5/13/16,15:17,297.8,2,6.36,402.4,2,6.02,1018.7,27.4,100.04,-999,-999,299.7,404.8,-999,-999,-999,-999,-999,-999,-999,5
CHEECA_80W_25N,24.898,-80.619,5/13/16,18:17,320.6,2,6.54,404,2,5.69,1017.6,29.2,101.03,-999,-999,322.7,406.4,-999,-999,-999,-999,-999,-999,-999,5
CHEECA_80W_25N,24.898,-80.619,5/13/16,21:17,336.1,2,6.53,404.3,2,5.68,1016.4,30.5,102.5,-999,-999,338.3,406.7,-999,-999,-999,-999,-999,-999,-999,5
CHEECA_80W_25N,24.898,-80.619,5/14/16,0:17,324.3,2,5.94,404.8,2,5.02,1016.7,31.1,103.36,-999,-999,326.3,406.8,-999,-999,-999,-999,-999,-999,-999,5
CHEECA_80W_25N,24.898,-80.619,5/14/16,3:17,317.5,2,6.04,404.9,2,5.29,1017.6,30,104.17,-999,-999,319.4,407.1,-999,-999,-999,-999,-999,-999,-999,5
CHEECA_80W_25N,24.898,-80.619,5/14/16,6:17,324.5,2,5.94,404.9,2,5.35,1015.8,28.9,104.12,-999,-999,326.5,407.1,-999,-999,-999,-999,-999,-999,-999,5
CHEECA_80W_25N,24.898,-80.619,5/14/16,9:17,329.4,2,5.9,405,2,5.38,1015.3,28.3,103.77,-999,-999,331.4,407.2,-999,-999,-999,-999,-999,-999,-999,5
CHEECA_80W_25N,24.898,-80.619,5/14/16,12:17,332.5,2,6.35,407,2,5.96,1016.9,27.9,103.06,-999,-999,334.7,409.4,-999,-999,-999,-999,-999,-999,-999,5
CHEECA_80W_25N,24.898,-80.619,5/14/16,15:17,310.8,2,6.91,406,2,6.26,1017.6,28.5,103.55,-999,-999,313,408.6,-999,-999,-999,-999,-999,-999,-999,5
CHEECA_80W_25N,24.898,-80.619,5/14/16,18:17,313.2,2,7.2,403.9,2,6.16,1016.4,30.2,104.62,-999,-999,315.5,406.4,-999,-999,-999,-999,-999,-999,-999,5
CHEECA_80W_25N,24.898,-80.619,5/14/16,21:17,298.1,2,6.7,403.5,2,5.66,1014.8,32,106.38,-999,-999,300.1,405.8,-999,-999,-999,-999,-999,-999,-999,5
CHEECA_80W_25N,24.898,-80.619,5/15/16,0:17,298,2,6.28,404.1,2,5.24,1015.1,32,106.97,-999,-999,299.9,406.2,-999,-999,-999,-999,-999,-999,-999,5
CHEECA_80W_25N,24.898,-80.619,5/15/16,3:17,277.4,2,6.2,404.8,2,5.54,1017.1,30.7,106.14,-999,-999,279.2,407.1,-999,-999,-999,-999,-999,-999,-999,5
CHEECA_80W_25N,24.898,-80.619,5/15/16,6:17,279.6,2,6.05,405.1,2,5.52,1016.5,29.6,104.68,-999,-999,281.3,407.4,-999,-999,-999,-999,-999,-999,-999,5
CHEECA_80W_25N,24.898,-80.619,5/15/16,9:17,283.7,2,5.93,405.2,2,5.44,1016.4,28.7,104.35,-999,-999,285.4,407.5,-999,-999,-999,-999,-999,-999,-999,5
CHEECA_80W_25N,24.898,-80.619,5/15/16,12:17,296.7,2,6.3,409.5,2,5.98,1017.5,28.2,103.65,-999,-999,298.6,411.9,-999,-999,-999,-999,-999,-999,-999,5
CHEECA_80W_25N,24.898,-80.619,5/15/16,15:17,297.7,2,6.9,409.3,2,6.35,1018.2,28.8,103.46,-999,-999,299.8,411.9,-999,-999,-999,-999,-999,-999,-999,5
CHEECA_80W_25N,24.898,-80.619,5/15/16,18:17,300.6,2,6.87,409.7,2,6.04,1017.7,30,104.19,-999,-999,302.7,412.2,-999,-999,-999,-999,-999,-999,-999,5
CHEECA_80W_25N,24.898,-80.619,5/15/16,21:17,309.7,2,6.81,408.4,2,6.07,1016.3,30.8,105.44,-999,-999,311.9,410.9,-999,-999,-999,-999,-999,-999,-999,5
CHEECA_80W_25N,24.898,-80.619,5/16/16,0:17,301.9,2,6.39,404.2,2,5.83,1016.9,31,106.42,-999,-999,303.9,406.6,-999,-999,-999,-999,-999,-999,-999,5
CHEECA_80W_25N,24.898,-80.619,5/16/16,3:17,309,2,6.34,404.3,2,5.85,1018.8,30,106.27,-999,-999,311,406.7,-999,-999,-999,-999,-999,-999,-999,5
CHEECA_80W_25N,24.898,-80.619,5/16/16,6:17,308,2,6.32,403.8,2,5.88,1017.6,29.2,105.9,-999,-999,310,406.2,-999,-999,-999,-999,-999,-999,-999,5
CHEECA_80W_25N,24.898,-80.619,5/16/16,9:17,316.9,2,6.22,403.8,2,5.88,1016.9,28.8,105.3,-999,-999,318.9,406.2,-999,-999,-999,-999,-999,-999,-999,5
CHEECA_80W_25N,24.898,-80.619,5/16/16,12:17,322.7,2,6.74,403.4,2,6.44,1018.3,28.6,104.24,-999,-999,324.9,406,-999,-999,-999,-999,-999,-999,-999,5
CHEECA_80W_25N,24.898,-80.619,5/16/16,15:17,307.3,2,7.1,403,2,6.65,1019.3,29.3,104.07,-999,-999,309.5,405.7,-999,-999,-999,-999,-999,-999,-999,5
CHEECA_80W_25N,24.898,-80.619,5/16/16,18:17,302,2,6.87,403.6,2,6.32,1018.5,30.1,104.85,-999,-999,304.1,406.1,-999,-999,-999,-999,-999,-999,-999,5
CHEECA_80W_25N,24.898,-80.619,5/16/16,21:17,285.2,2,6.68,403.8,2,6.26,1017.1,30.4,105.86,-999,-999,287.1,406.3,-999,-999,-999,-999,-999,-999,-999,5
CHEECA_80W_25N,24.898,-80.619,5/17/16,0:17,289.7,2,6.52,403.6,2,6.23,1017.9,30.1,106.91,-999,-999,291.6,406.1,-999,-999,-999,-999,-999,-999,-999,5
CHEECA_80W_25N,24.898,-80.619,5/17/16,3:17,301.6,2,6.74,403.2,2,6.52,1019.4,29.5,106.51,-999,-999,303.7,405.9,-999,-999,-999,-999,-999,-999,-999,5
CHEECA_80W_25N,24.898,-80.619,5/17/16,6:17,317.5,2,6.75,403.2,2,6.51,1017.9,29.2,105.16,-999,-999,319.7,405.9,-999,-999,-999,-999,-999,-999,-999,5
CHEECA_80W_25N,24.898,-80.619,5/17/16,9:17,310.6,2,6.84,403.6,2,6.58,1017.3,29,104.54,-999,-999,312.8,406.3,-999,-999,-999,-999,-999,-999,-999,5
CHEECA_80W_25N,24.898,-80.619,5/17/16,12:17,316.7,2,7.09,403.6,2,6.87,1018.8,28.9,103.98,-999,-999,319,406.4,-999,-999,-999,-999,-999,-999,-999,5
CHEECA_80W_25N,24.898,-80.619,5/17/16,15:17,315.6,2,7.72,402.7,2,7.37,1019.1,29.3,103.65,-999,-999,318,405.7,-999,-999,-999,-999,-999,-999,-999,5
CHEECA_80W_25N,24.898,-80.619,5/17/16,18:17,302,2,7.83,402.6,2,7.34,1017.1,30.2,104.65,-999,-999,304.4,405.6,-999,-999,-999,-999,-999,-999,-999,5
CHEECA_80W_25N,24.898,-80.619,5/17/16,21:17,280.9,2,8.19,402.9,2,7.56,1015.4,31.2,106.39,-999,-999,283.2,406,-999,-999,-999,-999,-999,-999,-999,5
CHEECA_80W_25N,24.898,-80.619,5/18/16,0:17,291.4,2,7.79,403.4,2,7.32,1015.3,31.4,106.9,-999,-999,293.7,406.4,-999,-999,-999,-999,-999,-999,-999,5
